building_size,type,Value,bedroom,age,bathrooms,toilets,Boy'squarter,loc_density,condition,Ceiling ,Floor,Roof,Window ,Painting,water,Electricity,Car_park,Security
900,Detached house,380000000,4,15,5,6,Present,High density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Good,Very good,Present,Private gate/fence
600,Detached house,480000000,4,5,4,5,Present,High density,Very good,POP,Marble,Aluminium Step Tiles Roofing Sheet,Casement,Gloss Paint,Good,Good,Present,Gated estate
600,Semi-detached house,350000000,3,6,4,5,Present,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Fair,Present,Private gate/fence
300,Bungalow,170000000,3,1,3,4,Absent,High density,Very good,Others,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Gloss Paint,Good,Good,Not present,Gated estate
450,Terrace,260000000,4,6,4,5,Absent,High density,Very good,POP,Tiles,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Good,Present,Private gate/fence
320,Detached house,140000000,4,12,5,5,Present,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Others,Emulsion Paint,Fair,Good,Not present,Gated estate
400,Semi-detached house,120000000,3,7,3,4,Absent,Medium density,Good,POP,Marble,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,Gated estate
400,Detached house,200000000,4,1,4,5,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Textcote Paint,Good,Good,Present,Gated estate
200,Semi-detached house,120000000,3,3,3,4,Absent,Low density,Very good,POP,Wooden,Aluminium Step Tiles Roofing Sheet,Others,Emulsion Paint,Good,Fair,Present,Private gate/fence
300,Detached house,200000000,4,1,5,5,Present,Medium density,Very good,Others,Marble,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Satin Paint,Good,Good,Not present,Private gate/fence
250,Terrace,90000000,3,1,3,4,Absent,Medium density,Good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Fair,Good,Not present,Street gate
300,Terrace,250000000,4,1,3,4,Absent,High density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Good,Very good,Present,Gated estate
320,Semi-detached house,115000000,5,5,5,6,Present,Medium density,Good,PVC,Tiles,Corrugated Iron Sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Good,Good,Not present,None
300,Semi-detached house,165000000,2,12,2,3,Present,High density,Fair,POP,Marble,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Satin Paint,Fair,Good,Not present,Private gate/fence
250,Bungalow,100000000,3,5,3,4,Present,Medium density,Very good,POP,Others,Aluminium Step Tiles Roofing Sheet,Casement,Emulsion Paint,Good,Very good,Present,Gated estate
500,Detached house,300000000,4,10,3,4,Absent,Medium density,Very good,POP,Tiles,Long Span Aluminium Roofing sheet,Casement,Emulsion Paint,Fair,Very good,Present,Gated estate
500,Terrace,70000000,2,4,2,3,Absent,Medium density,Good,POP,Marble,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Emulsion Paint,Fair,Good,Not present,Gated estate
650,Semi-detached house,170000000,4,12,3,4,Present,High density,Good,POP,Marble,Long Span Aluminium Roofing sheet,Glazed Aluminium Sliding Window,Gloss Paint,Good,Fair,Present,Gated estate
